Username,Degree Centrality,Betweenness Centrality,Closeness Centrality,Eigenvector Centrality,Followers Count,Connections
aitanax,0.02935290193462308,0.00014719893600352948,0.39635113696456903,0.016575853073761238,0,44
photosbylisaclaire,0.00133422281521014,0.0,0.3576712001908852,0.00027651860121856285,0,2
tortora_dave,0.00133422281521014,0.0,0.3576712001908852,0.00027651860121856285,0,2
vevo,0.1067378252168112,0.001559196319819945,0.4229683972911964,0.058070601463608824,0,160
billboard,0.16544362908605736,0.002819933865234577,0.4326118326118326,0.08995533598829931,0,248
sofiamartin,0.00933955970647098,2.3613761343147783e-05,0.3876389966382208,0.00535305134646161,3,14
msroses25,0.00133422281521014,0.0,0.3576712001908852,0.00027651860121856285,0,2
mom2mollymatt,0.00133422281521014,0.0,0.3576712001908852,0.00027651860121856285,0,2
lorde,0.07738492328218811,0.0006596938461092708,0.42130410342889263,0.0527771638700805,0,116
karolg,0.07871914609739826,0.0005692561458955921,0.41512046524508445,0.048555498527763634,0,118
johannesklahr,0.05203468979319546,0.0001651384986905384,0.3984582668793195,0.034398183712844435,4,78
anasarasimic,0.00133422281521014,0.0,0.3576712001908852,0.00027651860121856285,0,2
republickids,0.00800533689126084,2.9842172905956526e-06,0.394681411269089,0.007265621364454872,2,12
nurkomusic,0.00800533689126084,4.498639939456176e-06,0.38814085965820816,0.006009963196809804,2,12
kaylaclewes,0.00133422281521014,0.0,0.3576712001908852,0.00027651860121856285,0,2
jaxjones,0.0533689126084056,0.00014327240138537842,0.4048069133135296,0.03801903271747969,20,80
kaliuchis,0.11207471647765176,0.0010822166813693054,0.43715368912219305,0.0744731240107239,74,168
thebeachesband,0.06671114076050699,0.0001902113377046186,0.402848696586939,0.036371206677413837,15,100
glowestilistas,0.00133422281521014,0.0,0.326295167609926,0.0015121176110875693,0,2
niko.l.o.l,0.00133422281521014,0.0,0.3576712001908852,0.00027651860121856285,0,2
danpriddy_,0.04803202134756504,0.00015158842086918336,0.3980350504514073,0.030621107448592453,5,72
cami_lml_,0.00133422281521014,0.0,0.3576712001908852,0.00027651860121856285,0,2
plopezchile,0.00133422281521014,0.0,0.326295167609926,0.0015121176110875693,0,2
trucko,0.00133422281521014,0.0,0.326295167609926,0.0015121176110875693,0,2
beckyhill,0.11207471647765176,0.0006464935843382205,0.40878101990728116,0.07123791385461882,23,168
kendra7673,0.00133422281521014,0.0,0.3576712001908852,0.00027651860121856285,0,2
ladygaga,0.1267511674449633,0.0017138679999244635,0.42645803698435275,0.0731508699241134,0,190
chartscl,0.00133422281521014,0.0,0.326295167609926,0.0015121176110875693,0,2
charmed_imsure269,0.00133422281521014,0.0,0.3576712001908852,0.00027651860121856285,0,2
mccristianini,0.00133422281521014,0.0,0.3576712001908852,0.00027651860121856285,0,2
